loan_id;customer_id;loan_type;principal_idr;interest_rate_annual;tenure_months;disbursement_date;monthly_installment_idr;outstanding_idr;status;due_date;last_payment_date
LON0239;NBC0057;personal;30836337;0.1514;12;27/08/2022;2785273;13316936;active;28/08/2023;02/03/2024
LON0240;NBC0905;personal;45271134;0.2013;12;06/03/2024;4196486;0;paid_off;07/03/2025;06/08/2024
LON0241;NBC0537;personal;18115035;0.2144;24;16/06/2023;934773;15517713;active;17/06/2025;22/08/2024
LON0242;NBC0745;personal;31438241;0.1994;24;24/09/2022;1599153;0;paid_off;25/09/2024;13/05/2023
LON0243;NBC0938;personal;13192628;0.1541;48;07/04/2022;369908;8343073;active;10/04/2026;09/10/2024
LON0244;NBC0941;personal;30991783;0.2242;36;16/02/2023;1190335;21986159;active;18/02/2026;30/12/2023
LON0245;NBC0678;modal_usaha;40743536;0.1476;36;17/05/2023;1407604;31173083;active;19/05/2026;15/08/2024
LON0246;NBC0966;kredit_barang;25502626;0.1840;12;22/03/2024;2342938;14906090;overdue;23/03/2025;12/07/2024
LON0247;NBC0620;kredit_barang;28146168;0.1472;12;06/03/2024;2536708;21708311;active;07/03/2025;22/08/2024
LON0248;NBC0717;personal;7675590;0.1978;36;02/12/2022;284393;0;paid_off;04/12/2025;06/12/2024
LON0249;NBC0909;kredit_barang;27154388;0.2265;48;19/02/2023;865139;21906099;active;22/02/2027;05/08/2024
LON0250;NBC0764;kredit_barang;6426256;0.1737;48;29/03/2022;186662;4738809;written_off;01/04/2026;
LON0251;NBC0074;personal;13568972;0.1909;24;27/09/2022;684587;4515304;active;28/09/2024;28/11/2022
LON0252;NBC0878;personal;44807423;0.2389;48;29/08/2022;1458081;0;paid_off;01/09/2026;16/01/2024
LON0253;NBC0901;modal_usaha;168966668;0.1800;24;01/10/2022;8435509;77555110;active;02/10/2024;09/11/2023
LON0254;NBC0098;personal;6346515;0.1923;12;21/03/2024;585570;0;paid_off;22/03/2025;31/07/2024
LON0255;NBC0676;personal;7232053;0.2174;36;07/09/2022;275224;3721687;active;09/09/2025;10/11/2022
LON0256;NBC0542;kredit_barang;12119115;0.1319;24;24/04/2024;577247;9744038;active;26/04/2026;17/08/2024
LON0257;NBC0146;modal_usaha;21539646;0.1241;24;23/08/2022;1018075;16264754;active;24/08/2024;28/01/2024
LON0258;NBC0535;modal_usaha;71667489;0.1878;24;17/08/2022;3605003;51944251;active;18/08/2024;06/07/2024
LON0259;NBC0089;kredit_barang;23699244;0.1454;12;11/06/2022;2133913;13926196;active;12/06/2023;17/01/2023
LON0260;NBC0228;personal;41782389;0.1848;48;07/12/2022;1237862;0;paid_off;10/12/2026;22/08/2023
LON0261;NBC0114;personal;22840782;0.1925;24;25/05/2024;1154148;13332008;active;27/05/2026;02/09/2024
LON0262;NBC0751;personal;10925416;0.2267;24;31/05/2022;570412;0;paid_off;01/06/2024;20/02/2024
LON0263;NBC0739;personal;34217617;0.1703;6;18/10/2022;5989532;16766644;overdue;19/04/2023;25/09/2023
LON0264;NBC0317;personal;12232848;0.1317;6;25/02/2024;2117836;8674943;active;26/08/2024;23/09/2024
LON0265;NBC0809;kredit_barang;14961789;0.2382;36;06/05/2024;585581;5327463;overdue;09/05/2027;17/07/2024
LON0266;NBC0153;personal;18801539;0.1569;24;02/11/2023;917799;0;paid_off;03/11/2025;21/11/2024
LON0267;NBC0985;personal;13285332;0.2076;24;04/09/2022;681110;0;paid_off;05/09/2024;11/06/2024
LON0268;NBC0334;personal;46190390;0.2363;12;22/09/2023;4359478;16688093;active;22/09/2024;01/04/2024
LON0269;NBC0585;personal;30435053;0.1729;48;08/10/2022;882778;0;paid_off;11/10/2026;20/12/2022
LON0270;NBC0234;kredit_barang;8827405;0.2091;36;24/03/2022;332165;5367917;written_off;26/03/2025;
LON0271;NBC0324;personal;48146908;0.2368;36;02/08/2023;1880860;34636900;active;04/08/2026;24/01/2025
LON0272;NBC0796;personal;17661925;0.2160;24;01/06/2023;912783;8785598;active;02/06/2025;14/02/2024
LON0273;NBC0718;personal;18280628;0.2018;48;02/07/2023;558041;12738081;overdue;05/07/2027;09/04/2024
LON0274;NBC0942;modal_usaha;21604984;0.2242;6;17/03/2023;3839926;5390683;active;16/09/2023;24/09/2023
LON0275;NBC0707;modal_usaha;172018861;0.2065;48;03/07/2022;5294354;0;paid_off;06/07/2026;16/12/2024
LON0276;NBC0318;personal;9558302;0.1790;36;06/05/2024;345076;6784017;active;09/05/2027;18/11/2024
LON0277;NBC0439;kredit_barang;16659971;0.2296;24;11/12/2023;872207;9377451;active;12/12/2025;15/11/2024
LON0278;NBC0159;kredit_barang;8343918;0.2190;36;25/01/2022;318227;6389775;active;27/01/2025;16/06/2023
LON0279;NBC0957;personal;29918913;0.1662;36;17/02/2022;1061041;0;paid_off;19/02/2025;07/07/2024
LON0280;NBC0018;kredit_barang;23843722;0.1509;6;25/09/2022;4150679;6730191;active;27/03/2023;18/10/2023
LON0281;NBC0130;modal_usaha;67847863;0.1713;48;26/01/2022;1962319;0;paid_off;29/01/2026;22/10/2023
LON0282;NBC0485;personal;46458804;0.2280;36;26/09/2023;1793568;32351176;active;28/09/2026;30/04/2024
LON0283;NBC0419;personal;25443088;0.1389;6;28/03/2024;4413956;14744013;active;27/09/2024;28/02/2025
LON0284;NBC0823;modal_usaha;127722492;0.1337;24;07/09/2023;6094381;66549933;overdue;08/09/2025;08/06/2024
LON0285;NBC0373;personal;44645985;0.2390;48;17/09/2023;1453074;21674146;active;20/09/2027;16/02/2024
LON0286;NBC0714;kredit_barang;4995978;0.1487;6;22/02/2022;869147;3885998;active;24/08/2022;23/11/2022
LON0287;NBC0369;personal;8941246;0.2305;24;22/01/2023;468505;7902975;active;23/01/2025;29/07/2023
LON0288;NBC0694;modal_usaha;81680313;0.1407;24;07/02/2022;3924409;0;paid_off;09/02/2024;23/08/2022
LON0289;NBC0711;modal_usaha;88168239;0.2375;48;09/05/2023;2862274;0;paid_off;12/05/2027;12/07/2023
LON0290;NBC0059;modal_usaha;50486842;0.1203;24;26/06/2023;2377298;0;paid_off;27/06/2025;07/12/2023
LON0291;NBC0302;personal;34680554;0.1921;24;01/03/2023;1751739;0;paid_off;02/03/2025;15/02/2024
LON0292;NBC0680;personal;49343191;0.1723;6;08/06/2022;8642058;44056880;active;08/12/2022;08/10/2022
LON0293;NBC0943;kredit_barang;15610560;0.1622;12;26/02/2023;1417985;6258933;overdue;27/02/2024;09/02/2024
LON0294;NBC0299;modal_usaha;99834941;0.1790;24;20/09/2022;4979347;0;paid_off;21/09/2024;01/02/2023
LON0295;NBC0643;personal;21421947;0.1823;36;06/02/2022;776929;7646113;active;08/02/2025;16/12/2023
LON0296;NBC0752;personal;19720003;0.2392;12;25/08/2022;1863952;12195759;active;26/08/2023;21/09/2024
LON0297;NBC0383;modal_usaha;165108684;0.1350;12;26/01/2024;14785817;44478818;active;26/01/2025;02/03/2024
LON0298;NBC0245;kredit_barang;11824416;0.1910;6;29/08/2022;2081967;10586818;written_off;28/02/2023;
LON0299;NBC0326;personal;48311870;0.2167;48;18/11/2023;1513475;38310345;active;21/11/2027;27/11/2024
LON0300;NBC0830;modal_usaha;10919680;0.1264;36;06/02/2024;366037;0;paid_off;08/02/2027;10/06/2024
